modelo,fpr,tpr
SNA - Regresión Logística,0.005227882037533512,0.040937996820349765
SNA - Regresión Logística,0.005227882037533512,0.04133545310015898
SNA - Regresión Logística,0.0053172475424486144,0.04133545310015898
SNA - Regresión Logística,0.0053172475424486144,0.0417329093799682
SNA - Regresión Logística,0.005406613047363717,0.0417329093799682
SNA - Regresión Logística,0.005406613047363717,0.04213036565977742
SNA - Regresión Logística,0.005764075067024129,0.04213036565977742
SNA - Regresión Logística,0.005764075067024129,0.042527821939586645
SNA - Regresión Logística,0.005942806076854335,0.042527821939586645
SNA - Regresión Logística,0.005942806076854335,0.04292527821939587
SNA - Regresión Logística,0.0060768543342269886,0.04292527821939587
SNA - Regresión Logística,0.0060768543342269886,0.04332273449920509
SNA - Regresión Logística,0.006300268096514745,0.04332273449920509
SNA - Regresión Logística,0.006300268096514745,0.04372019077901431
SNA - Regresión Logística,0.006970509383378016,0.04372019077901431
SNA - Regresión Logística,0.006970509383378016,0.04570747217806041
SNA - Regresión Logística,0.007372654155495978,0.04570747217806041
SNA - Regresión Logística,0.007372654155495978,0.046104928457869634
SNA - Regresión Logística,0.007685433422698838,0.046104928457869634
SNA - Regresión Logística,0.007685433422698838,0.04769475357710652
SNA - Regresión Logística,0.00773011617515639,0.04769475357710652
SNA - Regresión Logística,0.00773011617515639,0.04809220985691574
SNA - Regresión Logística,0.007864164432529044,0.04809220985691574
SNA - Regresión Logística,0.007864164432529044,0.04848966613672496
SNA - Regresión Logística,0.007908847184986596,0.04848966613672496
SNA - Regresión Logística,0.007908847184986596,0.0492845786963434
SNA - Regresión Logística,0.007998212689901698,0.0492845786963434
SNA - Regresión Logística,0.007998212689901698,0.049682034976152624
SNA - Regresión Logística,0.00804289544235925,0.049682034976152624
SNA - Regresión Logística,0.00804289544235925,0.050079491255961846
SNA - Regresión Logística,0.008132260947274352,0.050079491255961846
SNA - Regresión Logística,0.008132260947274352,0.05047694753577107
SNA - Regresión Logística,0.008221626452189455,0.05047694753577107
SNA - Regresión Logística,0.008221626452189455,0.051271860095389504
SNA - Regresión Logística,0.00835567470956211,0.051271860095389504
SNA - Regresión Logística,0.00835567470956211,0.051669316375198726
SNA - Regresión Logística,0.008400357462019661,0.051669316375198726
SNA - Regresión Logística,0.008400357462019661,0.05246422893481717
SNA - Regresión Logística,0.008534405719392315,0.05246422893481717
SNA - Regresión Logística,0.008534405719392315,0.05286168521462639
SNA - Regresión Logística,0.008668453976764969,0.05286168521462639
SNA - Regresión Logística,0.008668453976764969,0.05325914149443561
SNA - Regresión Logística,0.008847184986595175,0.05325914149443561
SNA - Regresión Logística,0.008847184986595175,0.053656597774244835
SNA - Regresión Logística,0.009159964253798034,0.053656597774244835
SNA - Regresión Logística,0.009159964253798034,0.05405405405405406
SNA - Regresión Logística,0.009204647006255586,0.05405405405405406
SNA - Regresión Logística,0.009204647006255586,0.055246422893481716
SNA - Regresión Logística,0.00938337801608579,0.055246422893481716
SNA - Regresión Logística,0.00938337801608579,0.05604133545310016
SNA - Regresión Logística,0.00969615728328865,0.05604133545310016
SNA - Regresión Logística,0.00969615728328865,0.05643879173290938
SNA - Regresión Logística,0.010053619302949061,0.05643879173290938
SNA - Regresión Logística,0.010053619302949061,0.057233704292527825
SNA - Regresión Logística,0.010187667560321715,0.057233704292527825
SNA - Regresión Logística,0.010187667560321715,0.05763116057233704
SNA - Regresión Logística,0.010277033065236819,0.05763116057233704
SNA - Regresión Logística,0.010277033065236819,0.05842607313195548
SNA - Regresión Logística,0.010947274352100089,0.05842607313195548
SNA - Regresión Logística,0.010947274352100089,0.05922098569157393
SNA - Regresión Logística,0.011036639857015192,0.05922098569157393
SNA - Regresión Logística,0.011036639857015192,0.06041335453100159
SNA - Regresión Logística,0.011126005361930294,0.06041335453100159
SNA - Regresión Logística,0.011126005361930294,0.06160572337042925
SNA - Regresión Logística,0.011170688114387846,0.06160572337042925
SNA - Regresión Logística,0.011170688114387846,0.06200317965023847
SNA - Regresión Logística,0.011260053619302948,0.06200317965023847
SNA - Regresión Logística,0.011260053619302948,0.06319554848966613
SNA - Regresión Logística,0.011438784629133154,0.06319554848966613
SNA - Regresión Logística,0.011438784629133154,0.06359300476947535
SNA - Regresión Logística,0.011528150134048258,0.06359300476947535
SNA - Regresión Logística,0.011528150134048258,0.06399046104928457
SNA - Regresión Logística,0.01161751563896336,0.06399046104928457
SNA - Regresión Logística,0.01161751563896336,0.0643879173290938
SNA - Regresión Logística,0.012064343163538873,0.0643879173290938
SNA - Regresión Logística,0.012064343163538873,0.06518282988871224
SNA - Regresión Logística,0.012198391420911529,0.06518282988871224
SNA - Regresión Logística,0.012198391420911529,0.06558028616852146
SNA - Regresión Logística,0.012421805183199285,0.06558028616852146
SNA - Regresión Logística,0.012421805183199285,0.06717011128775835
SNA - Regresión Logística,0.012555853440571939,0.06717011128775835
SNA - Regresión Logística,0.012555853440571939,0.0679650238473768
SNA - Regresión Logística,0.012645218945487043,0.0679650238473768
SNA - Regresión Logística,0.012645218945487043,0.06836248012718601
SNA - Regresión Logística,0.012868632707774798,0.06836248012718601
SNA - Regresión Logística,0.012868632707774798,0.06875993640699524
SNA - Regresión Logística,0.01291331546023235,0.06875993640699524
SNA - Regresión Logística,0.01291331546023235,0.06995230524642289
SNA - Regresión Logística,0.013092046470062556,0.06995230524642289
SNA - Regresión Logística,0.013092046470062556,0.07034976152623211
SNA - Regresión Logística,0.013136729222520108,0.07034976152623211
SNA - Regresión Logística,0.013136729222520108,0.07074721780604133
SNA - Regresión Logística,0.013181411974977658,0.07074721780604133
SNA - Regresión Logística,0.013181411974977658,0.07114467408585055
SNA - Regresión Logística,0.013315460232350312,0.07114467408585055
SNA - Regresión Logística,0.013315460232350312,0.07154213036565978
SNA - Regresión Logística,0.013449508489722968,0.07154213036565978
SNA - Regresión Logística,0.013449508489722968,0.071939586645469
SNA - Regresión Logística,0.013583556747095622,0.071939586645469
SNA - Regresión Logística,0.013583556747095622,0.07233704292527822
SNA - Regresión Logística,0.013672922252010724,0.07233704292527822
SNA - Regresión Logística,0.013672922252010724,0.07273449920508744
SNA - Regresión Logística,0.013762287756925827,0.07273449920508744
SNA - Regresión Logística,0.013762287756925827,0.07313195548489666
SNA - Regresión Logística,0.01385165326184093,0.07313195548489666
SNA - Regresión Logística,0.01385165326184093,0.07352941176470588
