modelo,precision,recall
SNA - Regresión Logística,0.10104642236677305,0.9940381558028617
SNA - Regresión Logística,0.10105050505050506,0.9940381558028617
SNA - Regresión Logística,0.1010545880641642,0.9940381558028617
SNA - Regresión Logística,0.10105867140779053,0.9940381558028617
SNA - Regresión Logística,0.10106275508142401,0.9940381558028617
SNA - Regresión Logística,0.10106683908510466,0.9940381558028617
SNA - Regresión Logística,0.1010709234188725,0.9940381558028617
SNA - Regresión Logística,0.10107500808276754,0.9940381558028617
SNA - Regresión Logística,0.10107909307682982,0.9940381558028617
SNA - Regresión Logística,0.10108317840109934,0.9940381558028617
SNA - Regresión Logística,0.10108726405561619,0.9940381558028617
SNA - Regresión Logística,0.10109135004042037,0.9940381558028617
SNA - Regresión Logística,0.10109543635555196,0.9940381558028617
SNA - Regresión Logística,0.10109952300105102,0.9940381558028617
SNA - Regresión Logística,0.1011036099769576,0.9940381558028617
SNA - Regresión Logística,0.10110769728331177,0.9940381558028617
SNA - Regresión Logística,0.10111178492015363,0.9940381558028617
SNA - Regresión Logística,0.10111587288752324,0.9940381558028617
SNA - Regresión Logística,0.10111996118546072,0.9940381558028617
SNA - Regresión Logística,0.10112404981400615,0.9940381558028617
SNA - Regresión Logística,0.10112813877319962,0.9940381558028617
SNA - Regresión Logística,0.10113222806308128,0.9940381558028617
SNA - Regresión Logística,0.10113631768369122,0.9940381558028617
SNA - Regresión Logística,0.10114040763506955,0.9940381558028617
SNA - Regresión Logística,0.10114449791725644,0.9940381558028617
SNA - Regresión Logística,0.101148588530292,0.9940381558028617
SNA - Regresión Logística,0.10115267947421638,0.9940381558028617
SNA - Regresión Logística,0.10115677074906973,0.9940381558028617
SNA - Regresión Logística,0.1011608623548922,0.9940381558028617
SNA - Regresión Logística,0.10116495429172397,0.9940381558028617
SNA - Regresión Logística,0.1011690465596052,0.9940381558028617
SNA - Regresión Logística,0.10117313915857605,0.9940381558028617
SNA - Regresión Logística,0.10117723208867672,0.9940381558028617
SNA - Regresión Logística,0.1011813253499474,0.9940381558028617
SNA - Regresión Logística,0.10118541894242829,0.9940381558028617
SNA - Regresión Logística,0.10118951286615957,0.9940381558028617
SNA - Regresión Logística,0.10119360712118147,0.9940381558028617
SNA - Regresión Logística,0.10119770170753419,0.9940381558028617
SNA - Regresión Logística,0.10120179662525797,0.9940381558028617
SNA - Regresión Logística,0.10120589187439301,0.9940381558028617
SNA - Regresión Logística,0.10120998745497957,0.9940381558028617
SNA - Regresión Logística,0.10121408336705787,0.9940381558028617
SNA - Regresión Logística,0.10121817961066817,0.9940381558028617
SNA - Regresión Logística,0.10122227618585074,0.9940381558028617
SNA - Regresión Logística,0.1012263730926458,0.9940381558028617
SNA - Regresión Logística,0.10123047033109366,0.9940381558028617
SNA - Regresión Logística,0.10123456790123457,0.9940381558028617
SNA - Regresión Logística,0.10123866580310881,0.9940381558028617
SNA - Regresión Logística,0.10124276403675667,0.9940381558028617
SNA - Regresión Logística,0.10124686260221845,0.9940381558028617
SNA - Regresión Logística,0.10125096149953443,0.9940381558028617
SNA - Regresión Logística,0.10125506072874493,0.9940381558028617
SNA - Regresión Logística,0.10125916028989028,0.9940381558028617
SNA - Regresión Logística,0.10126326018301077,0.9940381558028617
SNA - Regresión Logística,0.10126736040814674,0.9940381558028617
SNA - Regresión Logística,0.10127146096533851,0.9940381558028617
SNA - Regresión Logística,0.10127556185462644,0.9940381558028617
SNA - Regresión Logística,0.10127966307605087,0.9940381558028617
SNA - Regresión Logística,0.10128376462965213,0.9940381558028617
SNA - Regresión Logística,0.1012878665154706,0.9940381558028617
SNA - Regresión Logística,0.10129196873354664,0.9940381558028617
SNA - Regresión Logística,0.10129607128392061,0.9940381558028617
SNA - Regresión Logística,0.10130017416663291,0.9940381558028617
SNA - Regresión Logística,0.10130427738172391,0.9940381558028617
SNA - Regresión Logística,0.10130838092923401,0.9940381558028617
SNA - Regresión Logística,0.1013124848092036,0.9940381558028617
SNA - Regresión Logística,0.10131658902167308,0.9940381558028617
